,Player,Pos,Tm,Total Value,APY,Total Guaranteed,AGY,% Guaranteed,APY_Cap,AVpG,Drafted,Draft_Pick,AV_percentile,fit_Cap
355,Matt Gay,K,Colts,22500000,5625000,10060000,2515000,44.7,2.502,0.21621621621621623,2019.0,145.0,97.3,2.14
388,Tyler Bass,K,Bills,20400000,5100000,9410000,2352500,46.1,2.269,0.16666666666666666,2020.0,188.0,84.9,1.588
421,Daniel Carlson,K,Raiders,18400000,4600000,4255556,1063889,23.1,2.046,0.2,2018.0,167.0,94.5,1.985
435,Jason Sanders,K,Dolphins,22000000,4400000,7520000,1504000,34.2,1.957,0.1919191919191919,2018.0,229.0,93.2,1.92
458,Harrison Butker,K,Chiefs,20275000,4055000,6490000,1298000,32.0,1.804,0.22429906542056074,2017.0,233.0,98.6,2.221
459,Jake Elliott,K,Eagles,20150000,4030000,5655000,1131000,28.1,1.793,0.18584070796460178,2017.0,153.0,91.8,1.855
496,Michael Dickson,P,Seahawks,14699059,3674765,7500000,1875000,51.0,1.635,0.16161616161616163,2018.0,149.0,83.6,1.547
587,Logan Cooke,P,Jaguars,12000000,3000000,6000000,1500000,50.0,1.335,0.14736842105263157,2018.0,247.0,76.7,1.357
594,Dustin Hopkins,K,Browns,9000000,3000000,3520000,1173333,39.1,1.335,0.1774193548387097,2013.0,177.0,90.4,1.794
599,Bryan Anger,P,Cowboys,9000000,3000000,3800000,1266667,42.2,1.335,0.11398963730569948,2012.0,70.0,61.6,1.07
615,Bradley Pinion,P,Falcons,8650000,2883333,4325000,1441667,50.0,1.283,0.08275862068965517,2015.0,165.0,47.9,0.898
620,Mitch Wishnowsky,P,49ers,11200000,2800000,3661389,915347,32.7,1.246,0.0963855421686747,2019.0,110.0,54.8,0.977
645,Greg Zuerlein,K,Jets,2600000,2600000,1750000,1750000,67.3,1.157,0.15760869565217392,2012.0,171.0,80.8,1.464
755,Sam Martin,P,Bills,6000000,2000000,2365000,788333,39.4,0.89,0.11627906976744186,2013.0,165.0,64.4,1.114
808,Riley Dixon,P,Broncos,3500000,1750000,1000000,500000,28.6,0.7779999999999999,0.10687022900763359,2016.0,228.0,57.5,1.012
849,Joe Cardona,LS,Patriots,6300000,1575000,2600000,650000,41.3,0.701,0.04861111111111111,2015.0,166.0,37.0,0.796
940,Blake Ferguson,LS,Dolphins,4060000,1353333,1560000,520000,38.4,0.602,0.05970149253731343,2020.0,185.0,45.2,0.87
1000,Michael Burton,FB,Broncos,1317500,1317500,1066250,1066250,80.9,0.586,0.0,2015.0,168.0,15.1,0.648
